지점,위도,경도
90,38.25085,128.56473
93,37.94738,127.75443
94,38.11562,127.43084
100,37.67713,128.71834
102,37.97396,124.71237
108,37.57142,126.9658
115,37.48129,130.89863
116,37.44526,126.96402
119,37.25746,126.983
121,37.18126,128.45743
130,36.99176,129.41278
132,36.58208,126.33002
135,36.22025,127.99458
136,36.57293,128.70733
140,36.0053,126.76135
143,35.87797,128.65296
146,35.84092,127.11718
152,35.58237,129.33469
156,35.17294,126.89156
160,35.11882,128.99995
169,34.68719,125.45105
185,33.29382,126.16283
192,35.16378,128.04004
201,37.70739,126.44634
229,36.62544,125.55954
232,36.76217,127.29282
273,36.62727,128.14879
501,37.65891,125.69819
