지점,지점명,일시,월 미세먼지 농도(㎍/㎥)
90,속초,2023-11,23
90,속초,2023-12,29
90,속초,2024-01,25
90,속초,2024-02,27
90,속초,2024-03,39
90,속초,2024-04,60
90,속초,2024-05,28
90,속초,2024-06,24
90,속초,2024-07,17
90,속초,2024-08,14
90,속초,2024-09,15
90,속초,2024-10,17
93,북춘천,2023-11,23
93,북춘천,2023-12,32
93,북춘천,2024-01,32
93,북춘천,2024-02,28
93,북춘천,2024-03,45
93,북춘천,2024-04,50
93,북춘천,2024-05,29
93,북춘천,2024-06,33
93,북춘천,2024-07,23
93,북춘천,2024-08,22
93,북춘천,2024-09,17
93,북춘천,2024-10,17
94,광덕산,2023-11,17
94,광덕산,2023-12,25
94,광덕산,2024-01,21
94,광덕산,2024-03,36
94,광덕산,2024-04,48
100,대관령,2023-11,17
100,대관령,2023-12,23
100,대관령,2024-01,20
100,대관령,2024-02,20
100,대관령,2024-03,39
100,대관령,2024-04,50
100,대관령,2024-05,29
100,대관령,2024-06,30
100,대관령,2024-07,16
100,대관령,2024-08,16
102,백령도,2023-11,23
102,백령도,2023-12,30
102,백령도,2024-01,28
102,백령도,2024-02,31
102,백령도,2024-03,46
102,백령도,2024-04,42
102,백령도,2024-05,24
102,백령도,2024-06,17
102,백령도,2024-07,19
102,백령도,2024-08,22
102,백령도,2024-09,22
102,백령도,2024-10,23
108,서울,2023-11,30
108,서울,2023-12,38
108,서울,2024-01,35
108,서울,2024-02,34
108,서울,2024-03,53
108,서울,2024-04,56
108,서울,2024-05,33
108,서울,2024-06,31
108,서울,2024-07,22
108,서울,2024-08,25
108,서울,2024-09,19
108,서울,2024-10,27
115,울릉도독도(감),2023-11,21
115,울릉도독도(감),2023-12,20
115,울릉도독도(감),2024-01,15
115,울릉도독도(감),2024-02,16
115,울릉도독도(감),2024-03,28
115,울릉도독도(감),2024-04,56
115,울릉도독도(감),2024-05,22
115,울릉도독도(감),2024-06,22
115,울릉도독도(감),2024-07,14
115,울릉도독도(감),2024-08,15
115,울릉도독도(감),2024-09,11
115,울릉도독도(감),2024-10,14
116,관악산,2023-11,26
116,관악산,2023-12,30
116,관악산,2024-01,28
116,관악산,2024-02,31
116,관악산,2024-03,50
116,관악산,2024-04,53
116,관악산,2024-05,39
116,관악산,2024-08,31
119,수원,2023-11,24
119,수원,2023-12,30
119,수원,2024-01,33
119,수원,2024-02,29
119,수원,2024-03,34
119,수원,2024-04,35
119,수원,2024-05,25
119,수원,2024-06,30
119,수원,2024-07,23
119,수원,2024-08,27
119,수원,2024-09,18
119,수원,2024-10,24
121,영월,2023-11,23
121,영월,2023-12,28
121,영월,2024-01,29
121,영월,2024-02,23
121,영월,2024-03,44
121,영월,2024-04,49
121,영월,2024-05,29
121,영월,2024-06,32
121,영월,2024-07,18
121,영월,2024-08,17
121,영월,2024-10,20
130,울진,2023-11,18
130,울진,2023-12,21
130,울진,2024-01,19
130,울진,2024-02,18
130,울진,2024-03,32
130,울진,2024-04,50
130,울진,2024-05,22
130,울진,2024-06,23
130,울진,2024-07,16
130,울진,2024-08,16
130,울진,2024-09,15
130,울진,2024-10,17
132,안면도(감),2023-11,26
132,안면도(감),2023-12,30
132,안면도(감),2024-01,26
132,안면도(감),2024-02,27
132,안면도(감),2024-03,35
132,안면도(감),2024-04,38
132,안면도(감),2024-05,22
132,안면도(감),2024-06,22
132,안면도(감),2024-07,20
132,안면도(감),2024-08,24
132,안면도(감),2024-09,17
132,안면도(감),2024-10,23
135,추풍령,2023-11,21
135,추풍령,2023-12,27
135,추풍령,2024-01,24
